timestamp,"rule.level","rule.description","full_log"
"Apr 4, 2020 @ 13:47:17.910",7,"Integrity checksum changed.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\CompositeBus\Parameters\Wdf' checksum changed.
Old md5sum was: 'f831bbb4b4e3aa71d36063136978431b'
New md5sum is : '660c9a37dafe24ad7d156238c5a03fd6'
Old sha1sum was: 'fb7819f8ec0c6d77e1fe97dbacc01e76e3e5be86'
New sha1sum is : '43d141d31fb892a664f9b819e3cf8f0a06efe4f2'
"
"Apr 4, 2020 @ 13:47:16.645",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\CDPUserSvc_29d4d' was added.
"
"Apr 4, 2020 @ 13:47:16.629",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\CDPUserSvc_29d4d\Security' was added.
"
"Apr 4, 2020 @ 13:47:16.488",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\cbdhsvc_29d4d' was added.
"
"Apr 4, 2020 @ 13:47:16.473",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\cbdhsvc_29d4d\Security' was added.
"
"Apr 4, 2020 @ 13:47:16.404",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\CaptureService_29d4d' was added.
"
"Apr 4, 2020 @ 13:47:16.380",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\CaptureService_29d4d\Security' was added.
"
"Apr 4, 2020 @ 13:47:13.478",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BluetoothUserService_29d4d' was added.
"
"Apr 4, 2020 @ 13:47:13.456",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BluetoothUserService_29d4d\TriggerInfo\4' was added.
"
"Apr 4, 2020 @ 13:47:13.421",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BluetoothUserService_29d4d\TriggerInfo\3' was added.
"
"Apr 4, 2020 @ 13:47:13.401",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BluetoothUserService_29d4d\TriggerInfo\2' was added.
"
"Apr 4, 2020 @ 13:47:13.380",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BluetoothUserService_29d4d\TriggerInfo\1' was added.
"
"Apr 4, 2020 @ 13:47:13.357",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BluetoothUserService_29d4d\TriggerInfo\0' was added.
"
"Apr 4, 2020 @ 13:47:13.341",5,"File added to the system.","File 'HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\BluetoothUserService_29d4d\Security' was added.
"
