"@timestamp",message,"log.file.path"
"May 28, 2020 @ 13:20:59.706","05/28/2020-13:20:57.797044  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49688 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:20:56.749","05/28-13:20:54.930480  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49687 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:20:56.705","05/28/2020-13:20:55.216110  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49687 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:20:53.748","05/28-13:20:52.066863  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49686 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:20:53.703","05/28/2020-13:20:52.641108  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49686 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:20:50.737","05/28-13:20:49.374459  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49685 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:20:50.702","05/28/2020-13:20:49.768176  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49685 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:20:49.736","05/28-13:20:43.226172  [**] [1:2825294:1] ETPRO TROJAN StoneDrill POST Login Request [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49682 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:20:49.736","05/28-13:20:44.050150  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49683 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:20:49.736","05/28-13:20:46.744672  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49684 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:20:49.701","05/28/2020-13:20:42.904575  [**] [1:2024732:5] ET MALWARE DNS Query For TURNEDUP.Backdoor CnC (googlmail) [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {UDP} 172.16.2.2:57732 -> 172.16.2.1:53","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:20:49.701","05/28/2020-13:20:43.498632  [**] [1:2825294:2] ETPRO MALWARE StoneDrill POST Login Request [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:49682 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:20:49.701","05/28/2020-13:20:44.456351  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49683 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:20:49.701","05/28/2020-13:20:47.044963  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:49684 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:19:34.687","05/28/2020-13:19:28.013959  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:50188 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:19:34.686","05/28-13:19:27.092278  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:50188 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:19:19.684","05/28/2020-13:19:16.804378  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:50178 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:19:19.683","05/28-13:19:16.519120  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:50178 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:19:12.682","05/28/2020-13:19:06.252924  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:50177 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:19:12.680","05/28-13:19:05.956598  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:50177 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:18:57.676","05/28/2020-13:18:55.664095  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:50170 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:18:57.676","05/28-13:18:55.352285  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:50170 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:18:50.674","05/28-13:18:44.740331  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:50150 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:18:50.674","05/28/2020-13:18:45.040291  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:50150 -> 58.158.177.102:80","/var/log/suricata/fast.log"
"May 28, 2020 @ 13:18:35.672","05/28-13:18:33.948585  [**] [1:2808510:3] ETPRO TROJAN StoneDrill Wiper Checkin 2 [**] [Classification: A Network Trojan was detected] [Priority: 1] {TCP} 172.16.2.2:50118 -> 58.158.177.102:80","/var/log/snort/alert.fast"
"May 28, 2020 @ 13:18:35.671","05/28/2020-13:18:34.473889  [**] [1:2808510:5] ETPRO MALWARE StoneDrill Wiper Checkin 2 [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.2.2:50118 -> 58.158.177.102:80","/var/log/suricata/fast.log"
